"Points:0","Points:1","Points:2"
5.75,0.5,237.74413
5.75,0.5,237.69412
5.75,0.5,237.64412
5.75,0.5,237.59413
6.25,0.5,239.36306
6.25,0.5,239.31306
6.25,0.5,239.26306
6.25,0.5,239.21306
6.25,0.5,239.16306
6.25,0.5,239.11306
6.25,0.5,239.06306
6.25,0.5,239.01306
6.25,0.5,238.96306
6.25,0.5,238.91306
6.25,0.5,238.86306
6.25,0.5,238.81306
6.25,0.5,238.76306
6.25,0.5,238.71306
6.25,0.5,238.66306
6.25,0.5,238.61306
6.25,0.5,238.56306
6.25,0.5,238.51306
6.25,0.5,238.46306
6.25,0.5,238.41306
6.25,0.5,238.36306
6.25,0.5,238.31306
6.25,0.5,238.26306
6.25,0.5,238.21306
6.25,0.5,238.16306
6.25,0.5,238.11306
6.25,0.5,238.06306
6.25,0.5,238.01306
6.25,0.5,237.96306
6.25,0.5,237.91306
6.25,0.5,237.86306
6.25,0.5,237.81306
6.25,0.5,237.76306
6.25,0.5,237.71306
6.25,0.5,237.66306
6.25,0.5,237.61306
6.75,0.5,239.38199
6.75,0.5,239.33199
6.75,0.5,239.28199
6.75,0.5,239.23199
6.75,0.5,239.18199
6.75,0.5,239.13199
6.75,0.5,239.08199
6.75,0.5,239.03199
6.75,0.5,238.98199
6.75,0.5,238.93199
6.75,0.5,238.88199
6.75,0.5,238.83199
6.75,0.5,238.78199
6.75,0.5,238.73199
6.75,0.5,238.68199
6.75,0.5,238.63199
6.75,0.5,238.58199
6.75,0.5,238.53199
6.75,0.5,238.48199
6.75,0.5,238.43199
6.75,0.5,238.38199
6.75,0.5,238.33199
6.75,0.5,238.28199
6.75,0.5,238.23199
6.75,0.5,238.18199
6.75,0.5,238.13199
6.75,0.5,238.08199
6.75,0.5,238.03199
6.75,0.5,237.98199
6.75,0.5,237.93199
6.75,0.5,237.88199
6.75,0.5,237.83199
6.75,0.5,237.78199
6.75,0.5,237.73199
6.75,0.5,237.68199
6.75,0.5,237.63199
7.25,0.5,239.40092
7.25,0.5,239.35092
7.25,0.5,239.30092
7.25,0.5,239.25093
7.25,0.5,239.20093
7.25,0.5,239.15092
7.25,0.5,239.10092
7.25,0.5,239.05092
